Carrier,DepTime,ArrTime,Price,Duration,Day,DepAirport,ArrAirport,DayAfter
Lufthansa,15:30,20:45,$348,6h 15m,2024-05-19,Rome,London,False
Air France,17:10,21:25,$380,5h 15m,2024-05-19,Rome,London,False
British Airways,8:25,10:10,$442,2h 45m,2024-05-19,Rome,London,False
"Wizz Air Malta, British Airways",7:00,11:50,$322,5h 50m,2024-05-19,Rome,London,False
"Wizz Air Malta, British Airways",12:20,18:55,$279,7h 35m,2024-05-19,Rome,London,False
"Vueling, British Airways",14:20,21:25,$268,8h 05m,2024-05-19,Rome,London,False
"easyJet, British Airways",9:45,17:25,$252,8h 40m,2024-05-19,Rome,London,False
SWISS,15:05,21:45,$314,7h 40m,2024-05-19,Rome,London,False
"Eurowings, British Airways",16:05,22:30,$291,7h 25m,2024-05-19,Rome,London,False
Iberia,11:55,17:15,$351,6h 20m,2024-05-19,Rome,London,False
Air France,6:00,13:45,$288,8h 45m,2024-05-19,Rome,London,False
KLM,12:40,19:30,$315,7h 50m,2024-05-19,Rome,London,False
"Wizz Air Malta, British Airways",11:40,18:35,$283,7h 55m,2024-05-19,Rome,London,False
Air France,11:35,16:35,$366,6h 00m,2024-05-19,Rome,London,False
KLM,12:40,17:50,$366,6h 10m,2024-05-19,Rome,London,False
Vueling,13:50,19:45,$150,6h 55m,2024-06-19,Rome,London,False
Brussels Airlines,17:45,20:55,$169,4h 10m,2024-06-19,Rome,London,False
Scandinavian Airlines,11:00,18:30,$117,8h 30m,2024-06-19,Rome,London,False
Brussels Airlines,17:45,21:35,$169,4h 50m,2024-06-19,Rome,London,False
"easyJet, British Airways",8:45,12:30,$160,4h 45m,2024-06-19,Rome,London,False
Vueling,9:50,19:45,$127,10h 55m,2024-06-19,Rome,London,False
"ITA Airways, British Airways",16:45,22:15,$154,6h 30m,2024-06-19,Rome,London,False
KLM,12:40,16:15,$189,4h 35m,2024-06-19,Rome,London,False
Multiple airlines,11:40,22:00,$89,11h 20m,2024-06-19,Rome,London,False
"Wizz Air Malta, Eurowings",13:00,18:45,$178,6h 45m,2024-06-19,Rome,London,False
"Brussels Airlines, British Airways",17:45,21:20,$181,4h 35m,2024-06-19,Rome,London,False
"ITA Airways, SWISS",16:45,21:30,$170,5h 45m,2024-06-19,Rome,London,False
"Wizz Air Malta, Iberia",6:15,12:00,$153,6h 45m,2024-06-19,Rome,London,False
"Brussels Airlines, British Airways",10:15,15:25,$166,6h 10m,2024-06-19,Rome,London,False
"Wizz Air, British Airways",15:05,21:50,$143,7h 45m,2024-06-19,Rome,London,False
"Wizz Air Malta, British Airways",8:25,15:30,$141,8h 05m,2024-06-19,Rome,London,False
"Wizz Air Malta, British Airways",6:10,14:40,$125,9h 30m,2024-06-19,Rome,London,False
"Lufthansa, British Airways",15:50,22:00,$159,7h 10m,2024-06-19,Rome,London,False
"ITA Airways, British Airways",8:25,15:25,$150,8h 00m,2024-06-19,Rome,London,False
"Aeroitalia, British Airways",9:20,17:40,$134,9h 20m,2024-06-19,Rome,London,False
KLM,12:40,17:35,$189,5h 55m,2024-06-19,Rome,London,False
Iberia,11:55,18:15,$171,7h 20m,2024-06-19,Rome,London,False
British Airways,15:35,17:15,$237,2h 40m,2024-06-19,Rome,London,False
"ITA Airways, British Airways",15:15,21:20,$165,7h 05m,2024-06-19,Rome,London,False
"Transavia France, British Airways",12:20,18:35,$158,7h 15m,2024-06-19,Rome,London,False
"Wizz Air Malta, British Airways",6:10,12:20,$160,7h 10m,2024-06-19,Rome,London,False
"Wizz Air Malta, Scandinavian Airlines",11:40,19:30,$141,8h 50m,2024-06-19,Rome,London,False
SWISS,15:05,21:45,$174,7h 40m,2024-06-19,Rome,London,False
Brussels Airlines,10:15,17:05,$174,7h 50m,2024-06-19,Rome,London,False
Iberia,11:55,19:20,$171,8h 25m,2024-06-19,Rome,London,False
