Carrier,DepTime,ArrTime,Price,Duration,Day,DepAirport,ArrAirport,DayAfter
"Iberia, British Airways",16:00,21:50,$281,6h 50m,2024-04-19,Madrid,London,False
KLM,13:05,17:35,$430,5h 30m,2024-04-19,Madrid,London,False
"Vueling, Iberia",9:30,14:35,$323,6h 05m,2024-04-19,Madrid,London,False
"Iberia Express, Iberia",11:20,15:45,$372,5h 25m,2024-04-19,Madrid,London,False
TAP AIR PORTUGAL,11:05,17:45,$283,7h 40m,2024-04-19,Madrid,London,False
"Iberia, Aer Lingus",10:40,15:55,$343,6h 15m,2024-04-19,Madrid,London,False
Iberia,15:40,21:45,$287,7h 05m,2024-04-19,Madrid,London,False
Lufthansa,13:00,17:40,$431,5h 40m,2024-04-19,Madrid,London,False
Air France,10:05,13:45,$503,4h 40m,2024-04-19,Madrid,London,False
KLM,10:20,16:15,$353,6h 55m,2024-04-19,Madrid,London,False
TAP AIR PORTUGAL,16:20,22:05,$357,6h 45m,2024-04-19,Madrid,London,False
"Iberia, British Airways",15:40,21:45,$287,7h 05m,2024-04-19,Madrid,London,False
Air France,12:20,16:35,$465,5h 15m,2024-04-19,Madrid,London,False
"Iberia, British Airways",11:30,17:45,$274,7h 15m,2024-04-19,Madrid,London,False
"Iberia, SWISS",11:30,16:35,$364,6h 05m,2024-04-19,Madrid,London,False
"Air Europa, British Airways",15:10,22:40,$197,8h 30m,2024-04-19,Madrid,London,False
KLM,13:05,19:25,$129,7h 20m,2024-07-19,Madrid,London,False
Iberia,8:00,9:30,$71,2h 30m,2024-07-19,Madrid,London,False
Vueling,9:30,19:45,$70,11h 15m,2024-07-19,Madrid,London,False
Iberia,7:00,8:25,$71,2h 25m,2024-07-19,Madrid,London,False
Iberia,9:10,10:35,$71,2h 25m,2024-07-19,Madrid,London,False
British Airways,8:00,9:30,$78,2h 30m,2024-07-19,Madrid,London,False
Iberia,15:45,17:15,$82,2h 30m,2024-07-19,Madrid,London,False
Iberia,10:40,12:00,$82,2h 20m,2024-07-19,Madrid,London,False
British Airways,9:10,10:35,$89,2h 25m,2024-07-19,Madrid,London,False
British Airways,7:00,8:25,$89,2h 25m,2024-07-19,Madrid,London,False
British Airways,15:45,17:15,$94,2h 30m,2024-07-19,Madrid,London,False
British Airways,10:40,12:00,$94,2h 20m,2024-07-19,Madrid,London,False
Iberia,17:20,18:40,$94,2h 20m,2024-07-19,Madrid,London,False
Vueling,15:45,17:15,$109,2h 30m,2024-07-19,Madrid,London,False
Iberia,13:30,14:55,$105,2h 25m,2024-07-19,Madrid,London,False
Iberia,17:55,19:20,$105,2h 25m,2024-07-19,Madrid,London,False
Vueling,9:10,10:35,$109,2h 25m,2024-07-19,Madrid,London,False
Iberia,13:30,14:55,$105,2h 25m,2024-07-19,Madrid,London,False
Iberia,17:55,19:20,$105,2h 25m,2024-07-19,Madrid,London,False
British Airways,13:30,14:55,$113,2h 25m,2024-07-19,Madrid,London,False
Vueling,17:55,19:20,$128,2h 25m,2024-07-19,Madrid,London,False
British Airways,17:55,19:20,$113,2h 25m,2024-07-19,Madrid,London,False
